Date + hour (YYYYMMDDHH),Views
"Jan 1, 2025, 12AM",295
"Jan 1, 2025, 1AM",248
"Jan 1, 2025, 2AM",146
"Jan 1, 2025, 3AM",82
"Jan 1, 2025, 4AM",39
"Jan 1, 2025, 5AM",49
"Jan 1, 2025, 6AM",114
"Jan 1, 2025, 7AM",81
"Jan 1, 2025, 8AM",235
"Jan 1, 2025, 9AM",394
"Jan 1, 2025, 10AM",427
"Jan 1, 2025, 11AM",522
"Jan 1, 2025, 12PM",513
"Jan 1, 2025, 1PM",553
"Jan 1, 2025, 2PM",555
"Jan 1, 2025, 3PM",531
"Jan 1, 2025, 4PM",533
"Jan 1, 2025, 5PM",612
"Jan 1, 2025, 6PM",648
"Jan 1, 2025, 7PM",728
"Jan 1, 2025, 8PM",670
"Jan 1, 2025, 9PM",806
"Jan 1, 2025, 10PM",616
"Jan 1, 2025, 11PM",590
"Jan 2, 2025, 12AM",385
"Jan 2, 2025, 1AM",240
"Jan 2, 2025, 2AM",113
"Jan 2, 2025, 3AM",41
"Jan 2, 2025, 4AM",49
"Jan 2, 2025, 5AM",55
"Jan 2, 2025, 6AM",62
"Jan 2, 2025, 7AM",147
"Jan 2, 2025, 8AM",274
"Jan 2, 2025, 9AM",590
"Jan 2, 2025, 10AM",730
"Jan 2, 2025, 11AM",803
"Jan 2, 2025, 12PM",685
"Jan 2, 2025, 1PM",752
"Jan 2, 2025, 2PM",899
"Jan 2, 2025, 3PM",1017
"Jan 2, 2025, 4PM",1017
"Jan 2, 2025, 5PM",987
"Jan 2, 2025, 6PM",1001
"Jan 2, 2025, 7PM",811
"Jan 2, 2025, 8PM",640
"Jan 2, 2025, 9PM",721
"Jan 2, 2025, 10PM",746
"Jan 2, 2025, 11PM",483
"Jan 3, 2025, 12AM",336
"Jan 3, 2025, 1AM",349
"Jan 3, 2025, 2AM",216
"Jan 3, 2025, 3AM",34
"Jan 3, 2025, 4AM",37
"Jan 3, 2025, 5AM",51
"Jan 3, 2025, 6AM",57
"Jan 3, 2025, 7AM",173
"Jan 3, 2025, 8AM",443
"Jan 3, 2025, 9AM",805
"Jan 3, 2025, 10AM",861
"Jan 3, 2025, 11AM",950
"Jan 3, 2025, 12PM",1005
"Jan 3, 2025, 1PM",906
"Jan 3, 2025, 2PM",1011
"Jan 3, 2025, 3PM",913
"Jan 3, 2025, 4PM",1119
"Jan 3, 2025, 5PM",1065
"Jan 3, 2025, 6PM",838
"Jan 3, 2025, 7PM",833
"Jan 3, 2025, 8PM",827
"Jan 3, 2025, 9PM",1103
"Jan 3, 2025, 10PM",973
"Jan 3, 2025, 11PM",712
"Jan 4, 2025, 12AM",425
"Jan 4, 2025, 1AM",297
"Jan 4, 2025, 2AM",145
"Jan 4, 2025, 3AM",85
"Jan 4, 2025, 4AM",58
"Jan 4, 2025, 5AM",59
"Jan 4, 2025, 6AM",59
"Jan 4, 2025, 7AM",109
"Jan 4, 2025, 8AM",277
"Jan 4, 2025, 9AM",439
"Jan 4, 2025, 10AM",647
"Jan 4, 2025, 11AM",702
"Jan 4, 2025, 12PM",628
"Jan 4, 2025, 1PM",767
"Jan 4, 2025, 2PM",737
"Jan 4, 2025, 3PM",821
"Jan 4, 2025, 4PM",815
"Jan 4, 2025, 5PM",800
"Jan 4, 2025, 6PM",903
"Jan 4, 2025, 7PM",720
"Jan 4, 2025, 8PM",899
"Jan 4, 2025, 9PM",909
"Jan 4, 2025, 10PM",878
"Jan 4, 2025, 11PM",594
"Jan 5, 2025, 12AM",488
"Jan 5, 2025, 1AM",377
"Jan 5, 2025, 2AM",229
"Jan 5, 2025, 3AM",85
"Jan 5, 2025, 4AM",90
"Jan 5, 2025, 5AM",57
"Jan 5, 2025, 6AM",89
"Jan 5, 2025, 7AM",91
"Jan 5, 2025, 8AM",266
"Jan 5, 2025, 9AM",498
"Jan 5, 2025, 10AM",659
"Jan 5, 2025, 11AM",645
"Jan 5, 2025, 12PM",644
"Jan 5, 2025, 1PM",941
"Jan 5, 2025, 2PM",847
"Jan 5, 2025, 3PM",906
"Jan 5, 2025, 4PM",892
"Jan 5, 2025, 5PM",755
"Jan 5, 2025, 6PM",694
"Jan 5, 2025, 7PM",893
"Jan 5, 2025, 8PM",1054
"Jan 5, 2025, 9PM",1084
"Jan 5, 2025, 10PM",794
"Jan 5, 2025, 11PM",760
"Jan 6, 2025, 12AM",498
"Jan 6, 2025, 1AM",307
"Jan 6, 2025, 2AM",165
"Jan 6, 2025, 3AM",84
"Jan 6, 2025, 4AM",63
"Jan 6, 2025, 5AM",40
"Jan 6, 2025, 6AM",100
"Jan 6, 2025, 7AM",191
"Jan 6, 2025, 8AM",347
"Jan 6, 2025, 9AM",629
"Jan 6, 2025, 10AM",889
"Jan 6, 2025, 11AM",824
"Jan 6, 2025, 12PM",1000
"Jan 6, 2025, 1PM",986
"Jan 6, 2025, 2PM",833
"Jan 6, 2025, 3PM",876
"Jan 6, 2025, 4PM",867
"Jan 6, 2025, 5PM",811
