Date + hour (YYYYMMDDHH),Views
"Jan 1, 2025, 12AM",5
"Jan 1, 2025, 1AM",8
"Jan 1, 2025, 4AM",3
"Jan 1, 2025, 5AM",1
"Jan 1, 2025, 6AM",1
"Jan 1, 2025, 7AM",8
"Jan 1, 2025, 8AM",6
"Jan 1, 2025, 9AM",13
"Jan 1, 2025, 10AM",6
"Jan 1, 2025, 11AM",18
"Jan 1, 2025, 12PM",5
"Jan 1, 2025, 1PM",19
"Jan 1, 2025, 2PM",13
"Jan 1, 2025, 3PM",11
"Jan 1, 2025, 4PM",3
"Jan 1, 2025, 5PM",15
"Jan 1, 2025, 6PM",9
"Jan 1, 2025, 7PM",9
"Jan 1, 2025, 8PM",4
"Jan 1, 2025, 9PM",8
"Jan 1, 2025, 10PM",8
"Jan 1, 2025, 11PM",22
"Jan 2, 2025, 12AM",1
"Jan 2, 2025, 1AM",3
"Jan 2, 2025, 2AM",5
"Jan 2, 2025, 3AM",1
"Jan 2, 2025, 4AM",1
"Jan 2, 2025, 5AM",15
"Jan 2, 2025, 7AM",4
"Jan 2, 2025, 8AM",19
"Jan 2, 2025, 9AM",21
"Jan 2, 2025, 10AM",47
"Jan 2, 2025, 11AM",26
"Jan 2, 2025, 12PM",11
"Jan 2, 2025, 1PM",24
"Jan 2, 2025, 2PM",13
"Jan 2, 2025, 3PM",5
"Jan 2, 2025, 4PM",27
"Jan 2, 2025, 5PM",13
"Jan 2, 2025, 6PM",9
"Jan 2, 2025, 7PM",7
"Jan 2, 2025, 8PM",14
"Jan 2, 2025, 9PM",8
"Jan 2, 2025, 10PM",6
"Jan 2, 2025, 11PM",26
"Jan 3, 2025, 12AM",6
"Jan 3, 2025, 2AM",3
"Jan 3, 2025, 3AM",4
"Jan 3, 2025, 4AM",5
"Jan 3, 2025, 5AM",1
"Jan 3, 2025, 6AM",6
"Jan 3, 2025, 7AM",5
"Jan 3, 2025, 8AM",19
"Jan 3, 2025, 9AM",7
"Jan 3, 2025, 10AM",14
"Jan 3, 2025, 11AM",16
"Jan 3, 2025, 12PM",16
"Jan 3, 2025, 1PM",21
"Jan 3, 2025, 2PM",9
"Jan 3, 2025, 3PM",17
"Jan 3, 2025, 4PM",27
"Jan 3, 2025, 5PM",26
"Jan 3, 2025, 6PM",14
"Jan 3, 2025, 7PM",20
"Jan 3, 2025, 8PM",16
"Jan 3, 2025, 9PM",22
"Jan 3, 2025, 10PM",18
"Jan 3, 2025, 11PM",34
"Jan 4, 2025, 12AM",13
"Jan 4, 2025, 1AM",6
"Jan 4, 2025, 2AM",4
"Jan 4, 2025, 3AM",1
"Jan 4, 2025, 4AM",4
"Jan 4, 2025, 5AM",1
"Jan 4, 2025, 6AM",11
"Jan 4, 2025, 7AM",21
"Jan 4, 2025, 8AM",24
"Jan 4, 2025, 9AM",27
"Jan 4, 2025, 10AM",13
"Jan 4, 2025, 11AM",26
"Jan 4, 2025, 12PM",36
"Jan 4, 2025, 1PM",19
"Jan 4, 2025, 2PM",41
"Jan 4, 2025, 3PM",36
"Jan 4, 2025, 4PM",47
"Jan 4, 2025, 5PM",21
"Jan 4, 2025, 6PM",32
"Jan 4, 2025, 7PM",20
"Jan 4, 2025, 8PM",14
"Jan 4, 2025, 9PM",8
"Jan 4, 2025, 10PM",10
"Jan 4, 2025, 11PM",6
"Jan 5, 2025, 12AM",11
"Jan 5, 2025, 1AM",3
"Jan 5, 2025, 2AM",6
"Jan 5, 2025, 3AM",1
"Jan 5, 2025, 4AM",1
"Jan 5, 2025, 6AM",6
"Jan 5, 2025, 7AM",5
"Jan 5, 2025, 8AM",14
"Jan 5, 2025, 9AM",20
"Jan 5, 2025, 10AM",25
"Jan 5, 2025, 11AM",24
"Jan 5, 2025, 12PM",23
"Jan 5, 2025, 1PM",18
"Jan 5, 2025, 2PM",9
"Jan 5, 2025, 3PM",29
"Jan 5, 2025, 4PM",14
