Date + hour (YYYYMMDDHH),Views
"Mar 6, 2025, 5PM",1
"Mar 7, 2025, 9AM",1
"Mar 7, 2025, 12PM",3
"Mar 11, 2025, 10AM",4
"Mar 12, 2025, 8AM",0
"Mar 12, 2025, 10AM",2
"Mar 12, 2025, 11AM",2
"Mar 17, 2025, 12PM",1
"Apr 2, 2025, 10AM",1
"Apr 2, 2025, 11AM",28
"Apr 2, 2025, 12PM",6
"Apr 2, 2025, 2PM",12
"Apr 3, 2025, 8AM",1
"Apr 7, 2025, 10AM",0
"Apr 12, 2025, 1PM",1
"Apr 14, 2025, 5PM",3
"Apr 15, 2025, 7PM",1
"Apr 17, 2025, 7AM",1
"Apr 17, 2025, 8AM",0
"Apr 22, 2025, 8AM",2
"Apr 22, 2025, 10AM",0
"Apr 25, 2025, 11AM",2
"Apr 26, 2025, 12PM",1
"May 8, 2025, 3PM",2
"May 8, 2025, 5PM",0
"May 8, 2025, 9PM",1
"May 8, 2025, 10PM",3
"May 10, 2025, 6PM",1
"May 11, 2025, 12PM",2
"May 12, 2025, 2PM",2
"May 13, 2025, 4PM",3
"May 18, 2025, 6PM",0
"May 22, 2025, 9AM",2
"May 22, 2025, 10AM",0
"May 26, 2025, 9AM",2
"May 26, 2025, 10AM",0
"May 30, 2025, 4PM",1
"May 30, 2025, 5PM",3
"Jun 11, 2025, 10AM",4
"Jun 12, 2025, 12PM",3
"Jun 12, 2025, 4PM",2
"Jun 13, 2025, 10AM",6
"Jun 13, 2025, 11AM",1
"Jun 13, 2025, 12PM",1
"Jun 13, 2025, 2PM",0
"Jun 16, 2025, 8AM",1
"Jun 16, 2025, 10AM",0
"Jun 16, 2025, 1PM",1
"Jun 16, 2025, 2PM",2
"Jun 16, 2025, 3PM",2
"Jun 17, 2025, 9AM",1
"Jun 18, 2025, 10AM",4
"Jun 20, 2025, 11AM",1
"Jun 23, 2025, 12PM",0
"Jun 27, 2025, 11AM",2
"Jun 30, 2025, 3PM",1
"Jul 1, 2025, 8PM",1
"Jul 2, 2025, 12PM",2
"Jul 2, 2025, 2PM",8
"Jul 2, 2025, 3PM",4
"Jul 2, 2025, 4PM",3
"Jul 3, 2025, 6AM",2
"Jul 3, 2025, 9AM",2
"Jul 3, 2025, 10AM",2
"Jul 4, 2025, 9AM",2
"Jul 9, 2025, 10AM",1
"Jul 10, 2025, 10AM",1
"Jul 14, 2025, 2PM",5
"Jul 15, 2025, 9AM",3
"Jul 15, 2025, 10AM",3
"Jul 15, 2025, 11AM",2
"Jul 15, 2025, 2PM",2
"Jul 15, 2025, 7PM",1
"Jul 21, 2025, 12PM",2
"Jul 25, 2025, 7PM",1
"Jul 29, 2025, 10AM",3
"Jul 29, 2025, 12PM",0
"Jul 29, 2025, 3PM",10
"Jul 29, 2025, 4PM",10
"Jul 29, 2025, 5PM",9
"Jul 30, 2025, 8AM",3
"Jul 30, 2025, 9AM",2
"Jul 30, 2025, 11AM",0
"Jul 30, 2025, 12PM",2
"Jul 31, 2025, 8AM",2
"Jul 31, 2025, 9AM",5
"Jul 31, 2025, 11AM",1
"Jul 31, 2025, 12PM",0
