Date + hour (YYYYMMDDHH),Views
"Feb 19, 2025, 9AM",1
"Feb 19, 2025, 10AM",13
"Feb 19, 2025, 11AM",1
"Feb 19, 2025, 2PM",0
"Feb 19, 2025, 3PM",1
"Feb 19, 2025, 5PM",4
"Feb 20, 2025, 10AM",2
"Feb 20, 2025, 12PM",1
"Feb 20, 2025, 2PM",2
"Feb 20, 2025, 3PM",1
"Feb 20, 2025, 4PM",2
"Feb 20, 2025, 5PM",1
"Feb 20, 2025, 6PM",0
"Feb 21, 2025, 9AM",2
"Feb 21, 2025, 3PM",13
"Feb 21, 2025, 4PM",0
"Feb 21, 2025, 5PM",1
"Feb 23, 2025, 10AM",1
"Feb 24, 2025, 9AM",2
"Feb 24, 2025, 10AM",1
"Feb 24, 2025, 11AM",2
"Feb 24, 2025, 4PM",1
"Feb 24, 2025, 5PM",3
"Feb 25, 2025, 9AM",1
"Feb 25, 2025, 10AM",7
"Feb 25, 2025, 11AM",4
"Feb 25, 2025, 2PM",2
"Feb 26, 2025, 9AM",11
"Feb 26, 2025, 10AM",1
"Feb 26, 2025, 2PM",0
"Feb 26, 2025, 3PM",0
"Feb 26, 2025, 7PM",10
"Feb 26, 2025, 8PM",3
"Feb 27, 2025, 6AM",1
"Mar 1, 2025, 2PM",3
"Mar 1, 2025, 3PM",1
"Mar 2, 2025, 8PM",2
"Mar 3, 2025, 9AM",1
"Mar 3, 2025, 10AM",2
"Mar 3, 2025, 11AM",1
"Mar 3, 2025, 5PM",1
"Mar 4, 2025, 7PM",5
"Mar 6, 2025, 10PM",1
"Mar 7, 2025, 9AM",1
"Mar 7, 2025, 12PM",4
"Mar 7, 2025, 1PM",3
"Mar 9, 2025, 7PM",5
"Mar 10, 2025, 4PM",2
"Mar 10, 2025, 5PM",1
"Mar 11, 2025, 11AM",2
"Mar 11, 2025, 12PM",5
"Mar 12, 2025, 8AM",0
"Mar 12, 2025, 3PM",2
"Mar 12, 2025, 4PM",2
"Mar 12, 2025, 8PM",1
"Mar 13, 2025, 1PM",2
"Mar 13, 2025, 4PM",1
"Mar 14, 2025, 9AM",0
"Mar 14, 2025, 5PM",2
"Mar 14, 2025, 6PM",0
"Mar 15, 2025, 11AM",1
"Mar 15, 2025, 7PM",3
"Mar 17, 2025, 5PM",4
"Mar 18, 2025, 1PM",1
"Mar 18, 2025, 2PM",4
"Mar 20, 2025, 10AM",2
"Mar 20, 2025, 11AM",0
"Mar 20, 2025, 2PM",2
"Mar 20, 2025, 3PM",0
"Mar 20, 2025, 4PM",1
"Mar 20, 2025, 5PM",2
"Mar 20, 2025, 6PM",4
"Mar 20, 2025, 9PM",3
"Mar 21, 2025, 6AM",5
"Mar 21, 2025, 9AM",2
"Mar 21, 2025, 10AM",0
"Mar 21, 2025, 11AM",12
"Mar 21, 2025, 12PM",1
"Mar 21, 2025, 2PM",1
"Mar 21, 2025, 3PM",1
"Mar 21, 2025, 6PM",0
"Mar 21, 2025, 10PM",1
"Mar 22, 2025, 7PM",1
"Mar 24, 2025, 5PM",1
"Mar 25, 2025, 11AM",2
"Mar 25, 2025, 12PM",0
"Mar 25, 2025, 1PM",4
"Mar 25, 2025, 2PM",2
"Mar 25, 2025, 3PM",1
"Mar 25, 2025, 4PM",1
"Mar 25, 2025, 5PM",4
"Mar 25, 2025, 6PM",3
"Mar 25, 2025, 7PM",1
"Mar 25, 2025, 8PM",4
"Mar 25, 2025, 9PM",5
"Mar 25, 2025, 10PM",8
"Mar 25, 2025, 11PM",6
"Mar 26, 2025, 12AM",11
"Mar 26, 2025, 2AM",1
"Mar 26, 2025, 5AM",3
"Mar 26, 2025, 6AM",1
"Mar 26, 2025, 7AM",1
"Mar 26, 2025, 8AM",2
"Mar 26, 2025, 9AM",12
"Mar 26, 2025, 11AM",8
"Mar 26, 2025, 12PM",8
"Mar 26, 2025, 1PM",5
"Mar 26, 2025, 2PM",5
"Mar 26, 2025, 3PM",5
"Mar 26, 2025, 4PM",15
"Mar 26, 2025, 5PM",3
"Mar 26, 2025, 6PM",9
"Mar 26, 2025, 7PM",3
"Mar 26, 2025, 8PM",8
"Mar 26, 2025, 9PM",5
"Mar 26, 2025, 10PM",4
"Mar 27, 2025, 1AM",2
"Mar 27, 2025, 2AM",3
"Mar 27, 2025, 4AM",5
"Mar 27, 2025, 9AM",2
"Mar 27, 2025, 10AM",18
"Mar 27, 2025, 11AM",6
"Mar 27, 2025, 12PM",18
"Mar 27, 2025, 1PM",8
"Mar 27, 2025, 2PM",11
"Mar 27, 2025, 3PM",13
"Mar 27, 2025, 4PM",11
"Mar 27, 2025, 5PM",15
"Mar 27, 2025, 6PM",6
"Mar 27, 2025, 7PM",11
"Mar 27, 2025, 8PM",10
"Mar 27, 2025, 9PM",7
"Mar 27, 2025, 10PM",9
"Mar 27, 2025, 11PM",2
"Mar 28, 2025, 12AM",5
"Mar 28, 2025, 4AM",2
"Mar 28, 2025, 6AM",4
"Mar 28, 2025, 7AM",7
"Mar 28, 2025, 9AM",3
"Mar 28, 2025, 10AM",17
"Mar 28, 2025, 11AM",18
"Mar 28, 2025, 12PM",11
"Mar 28, 2025, 1PM",17
"Mar 28, 2025, 2PM",10
"Mar 28, 2025, 3PM",6
"Mar 28, 2025, 4PM",1
"Mar 28, 2025, 5PM",5
"Mar 28, 2025, 7PM",5
"Mar 28, 2025, 8PM",4
"Mar 28, 2025, 9PM",2
"Mar 28, 2025, 10PM",5
"Mar 28, 2025, 11PM",8
"Mar 29, 2025, 12AM",4
"Mar 29, 2025, 2AM",1
"Mar 29, 2025, 3AM",3
"Mar 29, 2025, 4AM",1
"Mar 29, 2025, 5AM",4
"Mar 29, 2025, 6AM",2
"Mar 29, 2025, 7AM",3
"Mar 29, 2025, 8AM",14
