Date + hour (YYYYMMDDHH),Views
"Jan 1, 2025, 12AM",437
"Jan 1, 2025, 1AM",303
"Jan 1, 2025, 2AM",212
"Jan 1, 2025, 3AM",140
"Jan 1, 2025, 4AM",72
"Jan 1, 2025, 5AM",75
"Jan 1, 2025, 6AM",28
"Jan 1, 2025, 7AM",54
"Jan 1, 2025, 8AM",147
"Jan 1, 2025, 9AM",315
"Jan 1, 2025, 10AM",304
"Jan 1, 2025, 11AM",497
"Jan 1, 2025, 12PM",483
"Jan 1, 2025, 1PM",571
"Jan 1, 2025, 2PM",628
"Jan 1, 2025, 3PM",741
"Jan 1, 2025, 4PM",578
"Jan 1, 2025, 5PM",686
"Jan 1, 2025, 6PM",874
"Jan 1, 2025, 7PM",759
"Jan 1, 2025, 8PM",809
"Jan 1, 2025, 9PM",840
"Jan 1, 2025, 10PM",743
"Jan 1, 2025, 11PM",589
"Jan 2, 2025, 12AM",415
"Jan 2, 2025, 1AM",177
"Jan 2, 2025, 2AM",113
"Jan 2, 2025, 3AM",59
"Jan 2, 2025, 4AM",75
"Jan 2, 2025, 5AM",58
"Jan 2, 2025, 6AM",78
"Jan 2, 2025, 7AM",126
"Jan 2, 2025, 8AM",316
"Jan 2, 2025, 9AM",502
"Jan 2, 2025, 10AM",717
"Jan 2, 2025, 11AM",878
"Jan 2, 2025, 12PM",842
"Jan 2, 2025, 1PM",775
"Jan 2, 2025, 2PM",829
"Jan 2, 2025, 3PM",917
"Jan 2, 2025, 4PM",1066
"Jan 2, 2025, 5PM",864
"Jan 2, 2025, 6PM",1044
"Jan 2, 2025, 7PM",1004
"Jan 2, 2025, 8PM",993
"Jan 2, 2025, 9PM",1064
"Jan 2, 2025, 10PM",1306
"Jan 2, 2025, 11PM",873
"Jan 3, 2025, 12AM",570
"Jan 3, 2025, 1AM",202
"Jan 3, 2025, 2AM",147
"Jan 3, 2025, 3AM",73
"Jan 3, 2025, 4AM",54
"Jan 3, 2025, 5AM",44
"Jan 3, 2025, 6AM",79
"Jan 3, 2025, 7AM",158
"Jan 3, 2025, 8AM",316
"Jan 3, 2025, 9AM",643
"Jan 3, 2025, 10AM",768
"Jan 3, 2025, 11AM",675
"Jan 3, 2025, 12PM",881
"Jan 3, 2025, 1PM",767
"Jan 3, 2025, 2PM",1006
"Jan 3, 2025, 3PM",958
"Jan 3, 2025, 4PM",967
"Jan 3, 2025, 5PM",974
"Jan 3, 2025, 6PM",1017
"Jan 3, 2025, 7PM",945
"Jan 3, 2025, 8PM",824
"Jan 3, 2025, 9PM",900
"Jan 3, 2025, 10PM",933
"Jan 3, 2025, 11PM",863
"Jan 4, 2025, 12AM",430
"Jan 4, 2025, 1AM",282
"Jan 4, 2025, 2AM",154
"Jan 4, 2025, 3AM",143
"Jan 4, 2025, 4AM",71
"Jan 4, 2025, 5AM",104
"Jan 4, 2025, 6AM",120
"Jan 4, 2025, 7AM",119
"Jan 4, 2025, 8AM",229
"Jan 4, 2025, 9AM",373
"Jan 4, 2025, 10AM",463
"Jan 4, 2025, 11AM",809
"Jan 4, 2025, 12PM",648
"Jan 4, 2025, 1PM",620
"Jan 4, 2025, 2PM",990
"Jan 4, 2025, 3PM",944
"Jan 4, 2025, 4PM",875
"Jan 4, 2025, 5PM",1040
"Jan 4, 2025, 6PM",1198
"Jan 4, 2025, 7PM",969
"Jan 4, 2025, 8PM",844
"Jan 4, 2025, 9PM",1368
"Jan 4, 2025, 10PM",895
