Date + hour (YYYYMMDDHH),Views
"Sep 1, 2025, 11AM",6
"Sep 1, 2025, 12PM",4
"Sep 1, 2025, 1PM",4
"Sep 1, 2025, 2PM",6
"Sep 1, 2025, 3PM",18
"Sep 1, 2025, 5PM",2
"Sep 1, 2025, 7PM",0
"Sep 1, 2025, 8PM",12
"Sep 1, 2025, 9PM",0
"Sep 1, 2025, 10PM",18
"Sep 1, 2025, 11PM",1
"Sep 2, 2025, 7AM",3
"Sep 2, 2025, 8AM",3
"Sep 2, 2025, 9AM",3
"Sep 2, 2025, 10AM",15
"Sep 2, 2025, 11AM",4
"Sep 2, 2025, 12PM",1
"Sep 2, 2025, 1PM",2
"Sep 2, 2025, 3PM",27
"Sep 2, 2025, 4PM",7
"Sep 2, 2025, 5PM",5
"Sep 2, 2025, 6PM",19
"Sep 2, 2025, 7PM",15
"Sep 2, 2025, 8PM",7
"Sep 2, 2025, 9PM",1
"Sep 2, 2025, 10PM",2
"Sep 2, 2025, 11PM",1
"Sep 3, 2025, 12AM",11
"Sep 3, 2025, 2AM",3
"Sep 3, 2025, 3AM",1
"Sep 3, 2025, 4AM",0
"Sep 3, 2025, 6AM",14
"Sep 3, 2025, 7AM",3
"Sep 3, 2025, 8AM",8
"Sep 3, 2025, 9AM",7
"Sep 3, 2025, 10AM",11
"Sep 3, 2025, 11AM",4
"Sep 3, 2025, 12PM",2
"Sep 3, 2025, 1PM",6
"Sep 3, 2025, 2PM",17
"Sep 3, 2025, 3PM",40
"Sep 3, 2025, 4PM",3
"Sep 3, 2025, 5PM",7
"Sep 3, 2025, 7PM",1
"Sep 3, 2025, 8PM",1
"Sep 3, 2025, 9PM",11
"Sep 3, 2025, 10PM",2
"Sep 3, 2025, 11PM",0
"Sep 4, 2025, 12AM",7
"Sep 4, 2025, 2AM",5
"Sep 4, 2025, 5AM",2
"Sep 4, 2025, 6AM",0
"Sep 4, 2025, 8AM",0
"Sep 4, 2025, 9AM",11
"Sep 4, 2025, 10AM",5
"Sep 4, 2025, 11AM",4
"Sep 4, 2025, 12PM",3
"Sep 4, 2025, 1PM",32
"Sep 4, 2025, 2PM",1
"Sep 4, 2025, 3PM",2
"Sep 4, 2025, 4PM",4
"Sep 4, 2025, 5PM",0
"Sep 4, 2025, 7PM",6
"Sep 4, 2025, 8PM",1
"Sep 4, 2025, 9PM",4
"Sep 4, 2025, 10PM",3
"Sep 4, 2025, 11PM",2
"Sep 5, 2025, 12AM",4
"Sep 5, 2025, 1AM",1
"Sep 5, 2025, 2AM",1
"Sep 5, 2025, 5AM",5
"Sep 5, 2025, 6AM",2
"Sep 5, 2025, 7AM",13
"Sep 5, 2025, 9AM",4
"Sep 5, 2025, 10AM",10
"Sep 5, 2025, 11AM",0
"Sep 5, 2025, 12PM",16
"Sep 5, 2025, 1PM",7
"Sep 5, 2025, 2PM",1
"Sep 5, 2025, 3PM",3
"Sep 5, 2025, 4PM",29
"Sep 5, 2025, 5PM",13
"Sep 5, 2025, 6PM",12
