Date + hour (YYYYMMDDHH),Views
"Jan 1, 2025, 12AM",126
"Jan 1, 2025, 1AM",105
"Jan 1, 2025, 2AM",49
"Jan 1, 2025, 3AM",61
"Jan 1, 2025, 4AM",21
"Jan 1, 2025, 5AM",15
"Jan 1, 2025, 6AM",45
"Jan 1, 2025, 7AM",117
"Jan 1, 2025, 8AM",166
"Jan 1, 2025, 9AM",219
"Jan 1, 2025, 10AM",229
"Jan 1, 2025, 11AM",392
"Jan 1, 2025, 12PM",319
"Jan 1, 2025, 1PM",325
"Jan 1, 2025, 2PM",384
"Jan 1, 2025, 3PM",356
"Jan 1, 2025, 4PM",440
"Jan 1, 2025, 5PM",448
"Jan 1, 2025, 6PM",428
"Jan 1, 2025, 7PM",498
"Jan 1, 2025, 8PM",476
"Jan 1, 2025, 9PM",366
"Jan 1, 2025, 10PM",405
"Jan 1, 2025, 11PM",293
"Jan 2, 2025, 12AM",199
"Jan 2, 2025, 1AM",114
"Jan 2, 2025, 2AM",36
"Jan 2, 2025, 3AM",44
"Jan 2, 2025, 4AM",75
"Jan 2, 2025, 5AM",32
"Jan 2, 2025, 6AM",55
"Jan 2, 2025, 7AM",176
"Jan 2, 2025, 8AM",350
"Jan 2, 2025, 9AM",395
"Jan 2, 2025, 10AM",480
"Jan 2, 2025, 11AM",498
"Jan 2, 2025, 12PM",442
"Jan 2, 2025, 1PM",458
"Jan 2, 2025, 2PM",543
"Jan 2, 2025, 3PM",535
"Jan 2, 2025, 4PM",647
"Jan 2, 2025, 5PM",463
"Jan 2, 2025, 6PM",506
"Jan 2, 2025, 7PM",412
"Jan 2, 2025, 8PM",391
"Jan 2, 2025, 9PM",502
"Jan 2, 2025, 10PM",385
"Jan 2, 2025, 11PM",310
"Jan 3, 2025, 12AM",105
"Jan 3, 2025, 1AM",83
"Jan 3, 2025, 2AM",75
"Jan 3, 2025, 3AM",6
"Jan 3, 2025, 4AM",22
"Jan 3, 2025, 5AM",49
"Jan 3, 2025, 6AM",77
"Jan 3, 2025, 7AM",214
"Jan 3, 2025, 8AM",286
"Jan 3, 2025, 9AM",407
"Jan 3, 2025, 10AM",421
"Jan 3, 2025, 11AM",393
"Jan 3, 2025, 12PM",458
"Jan 3, 2025, 1PM",397
"Jan 3, 2025, 2PM",602
"Jan 3, 2025, 3PM",462
"Jan 3, 2025, 4PM",461
"Jan 3, 2025, 5PM",429
"Jan 3, 2025, 6PM",465
"Jan 3, 2025, 7PM",478
"Jan 3, 2025, 8PM",526
"Jan 3, 2025, 9PM",587
"Jan 3, 2025, 10PM",408
"Jan 3, 2025, 11PM",339
"Jan 4, 2025, 12AM",226
"Jan 4, 2025, 1AM",101
"Jan 4, 2025, 2AM",44
"Jan 4, 2025, 3AM",19
"Jan 4, 2025, 4AM",25
"Jan 4, 2025, 5AM",26
"Jan 4, 2025, 6AM",65
"Jan 4, 2025, 7AM",102
"Jan 4, 2025, 8AM",204
"Jan 4, 2025, 9AM",273
"Jan 4, 2025, 10AM",367
"Jan 4, 2025, 11AM",339
"Jan 4, 2025, 12PM",369
"Jan 4, 2025, 1PM",443
"Jan 4, 2025, 2PM",340
"Jan 4, 2025, 3PM",374
"Jan 4, 2025, 4PM",450
"Jan 4, 2025, 5PM",409
"Jan 4, 2025, 6PM",463
"Jan 4, 2025, 7PM",432
"Jan 4, 2025, 8PM",453
"Jan 4, 2025, 9PM",361
"Jan 4, 2025, 10PM",361
"Jan 4, 2025, 11PM",366
"Jan 5, 2025, 12AM",216
"Jan 5, 2025, 1AM",81
"Jan 5, 2025, 2AM",29
"Jan 5, 2025, 3AM",12
"Jan 5, 2025, 4AM",21
"Jan 5, 2025, 5AM",43
"Jan 5, 2025, 6AM",52
"Jan 5, 2025, 7AM",188
"Jan 5, 2025, 8AM",262
"Jan 5, 2025, 9AM",271
"Jan 5, 2025, 10AM",425
"Jan 5, 2025, 11AM",383
"Jan 5, 2025, 12PM",294
"Jan 5, 2025, 1PM",389
"Jan 5, 2025, 2PM",544
"Jan 5, 2025, 3PM",461
"Jan 5, 2025, 4PM",443
"Jan 5, 2025, 5PM",535
"Jan 5, 2025, 6PM",498
"Jan 5, 2025, 7PM",521
"Jan 5, 2025, 8PM",682
"Jan 5, 2025, 9PM",596
"Jan 5, 2025, 10PM",514
"Jan 5, 2025, 11PM",158
"Jan 6, 2025, 12AM",136
"Jan 6, 2025, 1AM",80
"Jan 6, 2025, 2AM",34
"Jan 6, 2025, 3AM",23
"Jan 6, 2025, 4AM",6
"Jan 6, 2025, 5AM",41
"Jan 6, 2025, 6AM",63
"Jan 6, 2025, 7AM",108
"Jan 6, 2025, 8AM",236
"Jan 6, 2025, 9AM",315
"Jan 6, 2025, 10AM",361
"Jan 6, 2025, 11AM",353
"Jan 6, 2025, 12PM",406
"Jan 6, 2025, 1PM",423
"Jan 6, 2025, 2PM",436
"Jan 6, 2025, 3PM",517
"Jan 6, 2025, 4PM",335
"Jan 6, 2025, 5PM",368
"Jan 6, 2025, 6PM",352
"Jan 6, 2025, 7PM",403
"Jan 6, 2025, 8PM",622
"Jan 6, 2025, 9PM",553
"Jan 6, 2025, 10PM",491
"Jan 6, 2025, 11PM",331
"Jan 7, 2025, 12AM",89
"Jan 7, 2025, 1AM",58
"Jan 7, 2025, 2AM",20
"Jan 7, 2025, 3AM",47
"Jan 7, 2025, 4AM",22
"Jan 7, 2025, 5AM",46
"Jan 7, 2025, 6AM",85
"Jan 7, 2025, 7AM",164
"Jan 7, 2025, 8AM",287
"Jan 7, 2025, 9AM",355
"Jan 7, 2025, 10AM",367
"Jan 7, 2025, 11AM",290
"Jan 7, 2025, 12PM",346
"Jan 7, 2025, 1PM",577
"Jan 7, 2025, 2PM",348
"Jan 7, 2025, 3PM",440
