Date + hour (YYYYMMDDHH),Views
"Jan 1, 2025, 12AM",27
"Jan 1, 2025, 1AM",35
"Jan 1, 2025, 2AM",13
"Jan 1, 2025, 3AM",6
"Jan 1, 2025, 4AM",12
"Jan 1, 2025, 5AM",31
"Jan 1, 2025, 6AM",42
"Jan 1, 2025, 7AM",76
"Jan 1, 2025, 8AM",100
"Jan 1, 2025, 9AM",112
"Jan 1, 2025, 10AM",155
"Jan 1, 2025, 11AM",129
"Jan 1, 2025, 12PM",84
"Jan 1, 2025, 1PM",147
"Jan 1, 2025, 2PM",120
"Jan 1, 2025, 3PM",204
"Jan 1, 2025, 4PM",162
"Jan 1, 2025, 5PM",209
"Jan 1, 2025, 6PM",207
"Jan 1, 2025, 7PM",223
"Jan 1, 2025, 8PM",217
"Jan 1, 2025, 9PM",165
"Jan 1, 2025, 10PM",97
"Jan 1, 2025, 11PM",74
"Jan 2, 2025, 12AM",17
"Jan 2, 2025, 1AM",4
"Jan 2, 2025, 2AM",28
"Jan 2, 2025, 3AM",2
"Jan 2, 2025, 4AM",15
"Jan 2, 2025, 5AM",64
"Jan 2, 2025, 6AM",60
"Jan 2, 2025, 7AM",88
"Jan 2, 2025, 8AM",116
"Jan 2, 2025, 9AM",136
"Jan 2, 2025, 10AM",96
"Jan 2, 2025, 11AM",140
"Jan 2, 2025, 12PM",151
"Jan 2, 2025, 1PM",180
"Jan 2, 2025, 2PM",180
"Jan 2, 2025, 3PM",119
"Jan 2, 2025, 4PM",139
"Jan 2, 2025, 5PM",152
"Jan 2, 2025, 6PM",141
"Jan 2, 2025, 7PM",157
"Jan 2, 2025, 8PM",208
"Jan 2, 2025, 9PM",196
"Jan 2, 2025, 10PM",109
"Jan 2, 2025, 11PM",58
"Jan 3, 2025, 12AM",32
"Jan 3, 2025, 1AM",13
"Jan 3, 2025, 2AM",7
"Jan 3, 2025, 3AM",19
"Jan 3, 2025, 4AM",14
"Jan 3, 2025, 5AM",44
"Jan 3, 2025, 6AM",51
"Jan 3, 2025, 7AM",68
"Jan 3, 2025, 8AM",72
"Jan 3, 2025, 9AM",81
"Jan 3, 2025, 10AM",119
"Jan 3, 2025, 11AM",137
"Jan 3, 2025, 12PM",154
"Jan 3, 2025, 1PM",115
"Jan 3, 2025, 2PM",117
"Jan 3, 2025, 3PM",129
"Jan 3, 2025, 4PM",124
"Jan 3, 2025, 5PM",142
"Jan 3, 2025, 6PM",110
"Jan 3, 2025, 7PM",149
"Jan 3, 2025, 8PM",133
"Jan 3, 2025, 9PM",166
"Jan 3, 2025, 10PM",85
"Jan 3, 2025, 11PM",58
"Jan 4, 2025, 12AM",54
"Jan 4, 2025, 1AM",8
"Jan 4, 2025, 2AM",21
"Jan 4, 2025, 3AM",9
"Jan 4, 2025, 4AM",23
"Jan 4, 2025, 5AM",42
"Jan 4, 2025, 6AM",50
"Jan 4, 2025, 7AM",73
"Jan 4, 2025, 8AM",93
"Jan 4, 2025, 9AM",83
"Jan 4, 2025, 10AM",111
"Jan 4, 2025, 11AM",61
"Jan 4, 2025, 12PM",110
"Jan 4, 2025, 1PM",128
"Jan 4, 2025, 2PM",134
"Jan 4, 2025, 3PM",103
"Jan 4, 2025, 4PM",182
"Jan 4, 2025, 5PM",130
"Jan 4, 2025, 6PM",153
"Jan 4, 2025, 7PM",107
"Jan 4, 2025, 8PM",193
"Jan 4, 2025, 9PM",161
"Jan 4, 2025, 10PM",149
"Jan 4, 2025, 11PM",49
"Jan 5, 2025, 12AM",40
"Jan 5, 2025, 1AM",5
"Jan 5, 2025, 2AM",14
"Jan 5, 2025, 3AM",16
"Jan 5, 2025, 4AM",19
"Jan 5, 2025, 5AM",23
"Jan 5, 2025, 6AM",74
"Jan 5, 2025, 7AM",98
"Jan 5, 2025, 8AM",103
"Jan 5, 2025, 9AM",101
"Jan 5, 2025, 10AM",93
"Jan 5, 2025, 11AM",82
"Jan 5, 2025, 12PM",80
