Date + hour (YYYYMMDDHH),Views
"Jan 1, 2025, 12AM",9
"Jan 1, 2025, 1AM",2
"Jan 1, 2025, 2AM",6
"Jan 1, 2025, 3AM",9
"Jan 1, 2025, 4AM",7
"Jan 1, 2025, 5AM",2
"Jan 1, 2025, 6AM",11
"Jan 1, 2025, 7AM",15
"Jan 1, 2025, 8AM",19
"Jan 1, 2025, 9AM",16
"Jan 1, 2025, 10AM",15
"Jan 1, 2025, 11AM",26
"Jan 1, 2025, 12PM",15
"Jan 1, 2025, 1PM",36
"Jan 1, 2025, 2PM",14
"Jan 1, 2025, 3PM",21
"Jan 1, 2025, 4PM",18
"Jan 1, 2025, 5PM",29
"Jan 1, 2025, 6PM",36
"Jan 1, 2025, 7PM",16
"Jan 1, 2025, 8PM",22
"Jan 1, 2025, 9PM",39
"Jan 1, 2025, 10PM",11
"Jan 1, 2025, 11PM",24
"Jan 2, 2025, 12AM",8
"Jan 2, 2025, 1AM",1
"Jan 2, 2025, 2AM",2
"Jan 2, 2025, 5AM",4
"Jan 2, 2025, 6AM",16
"Jan 2, 2025, 7AM",5
"Jan 2, 2025, 8AM",12
"Jan 2, 2025, 9AM",12
"Jan 2, 2025, 10AM",37
"Jan 2, 2025, 11AM",53
"Jan 2, 2025, 12PM",28
"Jan 2, 2025, 1PM",53
"Jan 2, 2025, 2PM",33
"Jan 2, 2025, 3PM",86
"Jan 2, 2025, 4PM",52
"Jan 2, 2025, 5PM",55
"Jan 2, 2025, 6PM",50
"Jan 2, 2025, 7PM",39
"Jan 2, 2025, 8PM",43
"Jan 2, 2025, 9PM",49
"Jan 2, 2025, 10PM",45
"Jan 2, 2025, 11PM",30
"Jan 3, 2025, 12AM",6
"Jan 3, 2025, 1AM",16
"Jan 3, 2025, 2AM",16
"Jan 3, 2025, 3AM",3
"Jan 3, 2025, 4AM",2
"Jan 3, 2025, 5AM",18
"Jan 3, 2025, 6AM",7
"Jan 3, 2025, 7AM",20
"Jan 3, 2025, 8AM",46
"Jan 3, 2025, 9AM",33
"Jan 3, 2025, 10AM",54
"Jan 3, 2025, 11AM",69
"Jan 3, 2025, 12PM",36
"Jan 3, 2025, 1PM",59
"Jan 3, 2025, 2PM",36
"Jan 3, 2025, 3PM",50
"Jan 3, 2025, 4PM",65
"Jan 3, 2025, 5PM",42
"Jan 3, 2025, 6PM",43
"Jan 3, 2025, 7PM",52
"Jan 3, 2025, 8PM",35
"Jan 3, 2025, 9PM",50
"Jan 3, 2025, 10PM",65
"Jan 3, 2025, 11PM",32
"Jan 4, 2025, 12AM",11
"Jan 4, 2025, 1AM",10
"Jan 4, 2025, 3AM",11
"Jan 4, 2025, 5AM",3
"Jan 4, 2025, 6AM",4
"Jan 4, 2025, 7AM",9
"Jan 4, 2025, 8AM",13
"Jan 4, 2025, 9AM",94
"Jan 4, 2025, 10AM",68
"Jan 4, 2025, 11AM",57
"Jan 4, 2025, 12PM",41
"Jan 4, 2025, 1PM",46
"Jan 4, 2025, 2PM",32
"Jan 4, 2025, 3PM",50
"Jan 4, 2025, 4PM",40
"Jan 4, 2025, 5PM",43
"Jan 4, 2025, 6PM",40
"Jan 4, 2025, 7PM",24
"Jan 4, 2025, 8PM",38
"Jan 4, 2025, 9PM",73
"Jan 4, 2025, 10PM",49
"Jan 4, 2025, 11PM",19
"Jan 5, 2025, 12AM",21
"Jan 5, 2025, 1AM",5
"Jan 5, 2025, 2AM",15
"Jan 5, 2025, 3AM",3
"Jan 5, 2025, 4AM",4
"Jan 5, 2025, 5AM",2
"Jan 5, 2025, 6AM",10
"Jan 5, 2025, 7AM",32
"Jan 5, 2025, 8AM",23
"Jan 5, 2025, 9AM",20
"Jan 5, 2025, 10AM",21
"Jan 5, 2025, 11AM",27
"Jan 5, 2025, 12PM",49
"Jan 5, 2025, 1PM",48
"Jan 5, 2025, 2PM",41
"Jan 5, 2025, 3PM",48
"Jan 5, 2025, 4PM",31
"Jan 5, 2025, 5PM",36
"Jan 5, 2025, 6PM",41
"Jan 5, 2025, 7PM",81
"Jan 5, 2025, 8PM",61
"Jan 5, 2025, 9PM",85
"Jan 5, 2025, 10PM",37
"Jan 5, 2025, 11PM",6
"Jan 6, 2025, 12AM",9
"Jan 6, 2025, 1AM",2
"Jan 6, 2025, 2AM",1
"Jan 6, 2025, 3AM",2
"Jan 6, 2025, 4AM",1
"Jan 6, 2025, 5AM",1
"Jan 6, 2025, 6AM",4
"Jan 6, 2025, 7AM",7
"Jan 6, 2025, 8AM",32
"Jan 6, 2025, 9AM",59
"Jan 6, 2025, 10AM",61
"Jan 6, 2025, 11AM",71
"Jan 6, 2025, 12PM",69
"Jan 6, 2025, 1PM",63
"Jan 6, 2025, 2PM",63
"Jan 6, 2025, 3PM",81
"Jan 6, 2025, 4PM",95
"Jan 6, 2025, 5PM",38
"Jan 6, 2025, 6PM",45
"Jan 6, 2025, 7PM",70
